Code	Title	Price
NHIA-171-001	NHIA-171-001 - Hand/Finger (Adult)	1680.00
NHIA-171-002	NHIA-171-002 - Wrist (Adult)	1680.00
NHIA-171-003	NHIA-171-003 - Forearm (Adult)	1680.00
NHIA-171-004	NHIA-171-004 - Elbow (Adult)	1680.00
NHIA-171-005	NHIA-171-005 - Humerus (Adult)	1680.00
NHIA-171-006	NHIA-171-006 - Shoulder (Adult)	2520.00
NHIA-171-007	NHIA-171-007 - Clavicle	2520.00
NHIA-171-008	NHIA-171-008 - Scaphoid series	2520.00
NHIA-172-001	NHIA-172-001 - Foot/Toe (Adult)	1680.00
NHIA-172-002	NHIA-172-002 - Ankle (Adult)	1680.00
NHIA-172-003	NHIA-172-003 - Leg (Tibia/Fibula) (Adult)	2520.00
NHIA-172-004	NHIA-172-004 - Knee (Adult)	2520.00
NHIA-172-005	NHIA-172-005 - Hip (Adult)	2520.00
NHIA-172-006	NHIA-172-006 - Femur Or Thigh (Adult)	2520.00
NHIA-172-007	NHIA-172-007 - Pelvic (Adult)	2520.00
NHIA-173-001	NHIA-173-001 - Chest (PA/AP) (Adult)	2520.00
NHIA-173-002	NHIA-173-002 - Chest (PA/Lateral) (Adult)	2520.00
NHIA-173-003	NHIA-173-003 - Chest For Ribs (Oblique) (Adult)	2520.00
NHIA-173-004	NHIA-173-004 - Apical/Lordotic	2100.00
NHIA-173-005	NHIA-173-005 - Sternum	2100.00
NHIA-173-006	NHIA-173-006 - Thoracic Inlet (Adult)	2520.00
NHIA-174-001	NHIA-174-001 - Cervical Spine (Adult)	3360.00
NHIA-174-002	NHIA-174-002 - Lateral Neck (Soft Tissue)	3360.00
NHIA-174-003	NHIA-174-003 - Thoracic Spine	3360.00
NHIA-174-004	NHIA-174-004 - Thoraco Lumber Spine (Adult)	3920.00
NHIA-174-005	NHIA-174-005 - Lumbar Spine	3360.00
NHIA-174-006	NHIA-174-006 - Lumbo Sacral Spine (Adult)	3920.00
NHIA-174-007	NHIA-174-007 - Sacrum	3360.00
NHIA-174-008	NHIA-174-008 - Sacro Iliac Joint (S.I.J.)	3360.00
NHIA-174-009	NHIA-174-009 - Cervical Spine (Oblique)	3360.00
NHIA-174-010	NHIA-174-010 - Sacro-Coccyx	3360.00
NHIA-175-001	NHIA-175-001 - Abdomen (Plain)	2520.00
NHIA-175-002	NHIA-175-002 - Abdomen (Erect/Supine)	2520.00
NHIA-175-003	NHIA-175-003 - Abdomen (Pregnancy)	2520.00
NHIA-176-001	NHIA-176-001 - Skull (AP/Lat)	3360.00
NHIA-176-002	NHIA-176-002 - Skull (Pa/Lat/Townes)	3360.00
NHIA-176-003	NHIA-176-003 - Mastoids (Owens/ Townes)	3360.00
NHIA-176-004	NHIA-176-004 - Sinuses AP/LNT/OM	4200.00
NHIA-176-005	NHIA-176-005 - Mandibles (Jaw)	3360.00
NHIA-176-006	NHIA-176-006 - Temporo-Mandibular Joints (TMJ)	3360.00
NHIA-176-007	NHIA-176-007 - Sella Turcica	3360.00
NHIA-176-008	NHIA-176-008 - Tagential	3360.00
NHIA-176-009	NHIA-176-009 - Occipito-Mental (OM)	3360.00
NHIA-176-010	NHIA-176-010 - Cranio-cordial	4550.00
NHIA-176-011	NHIA-176-011 - Nasopharynx	2590.00
NHIA-176-012	NHIA-176-012 - Paranasal sinuses	3010.00
NHIA-177-001	NHIA-177-001 - Periapical	2100.00
NHIA-177-002	NHIA-177-002 - Bitewings	2800.00
NHIA-177-003	NHIA-177-003 - Panoramic View	3500.00
NHIA-178-001	NHIA-178-001 - Barium Swallow	14000.00
NHIA-178-002	NHIA-178-002 - Barium Meal/Follow Through	21000.00
NHIA-178-003	NHIA-178-003 - Barium Enema	19600.00
