Code	Title	Price
NHIA-021-001	NHIA-021-001 - Antral Washout	28000.00
NHIA-021-002	NHIA-021-002 - Aseptic Destruction of Labyrinth for Meniere's Disease	33600.00
NHIA-021-003	NHIA-021-003 - Audiometry	14000.00
NHIA-021-004	NHIA-021-004 - Electrocautery of Nose	28000.00
NHIA-021-005	NHIA-021-005 - Foreign Body Removal from Ear	7000.00
NHIA-021-006	NHIA-021-006 - Foreign Body Removal from Ingestion Airway	21000.00
NHIA-021-007	NHIA-021-007 - Foreign Body Removal from Oesophagus	21000.00
NHIA-021-008	NHIA-021-008 - Foreign Body Removal from Nose (Ordinary)	7000.00
NHIA-021-009	NHIA-021-009 - Foreign Body Removal from Nose (Under GA)	21000.00
NHIA-021-010	NHIA-021-010 - Foreign Body Removal from Throat	21000.00
NHIA-021-011	NHIA-021-011 - I&D of quinsy/retropharyngeal abscess/Ludwig angina	21000.00
NHIA-021-012	NHIA-021-012 - Indirect Laryngoscopy	21000.00
NHIA-021-013	NHIA-021-013 - Myringoplasty	42000.00
NHIA-021-014	NHIA-021-014 - Myringotomy; bilateral, unilateral, with grommet	28000.00
NHIA-021-015	NHIA-021-015 - Preauricular Sinus repair	25200.00
NHIA-021-016	NHIA-021-016 - Sinus Antroscopy	21000.00
NHIA-021-017	NHIA-021-017 - Staples Mobilisation	25200.00
NHIA-021-018	NHIA-021-018 - Tympanometry	14000.00
NHIA-021-019	NHIA-021-019 - Ear Syringing per ear	3500.00
NHIA-022-001	NHIA-022-001 - Antrostomy - Nasal Sinus Surgery (e.g., middle/inferior meatal/ Caldwell Luc)	42000.00
NHIA-022-002	NHIA-022-002 - Aural Polypectomy = Clinic + Biopsy	42000.00
NHIA-022-003	NHIA-022-003 - Cortical Mastoidectomy	42000.00
NHIA-022-004	NHIA-022-004 - Cryosurgery	42000.00
NHIA-022-005	NHIA-022-005 - Direct Laryngoscopy (Under GA)	42000.00
NHIA-022-006	NHIA-022-006 - EUA Nasopharynx + Biopsy	42000.00
NHIA-022-007	NHIA-022-007 - EUA Oropharynx/Hypopharynx, Larynx + biopsy	42000.00
NHIA-022-008	NHIA-022-008 - Excision of Nasomaxillary mass	42000.00
NHIA-022-009	NHIA-022-009 - Lateral Rhinotomy	42000.00
NHIA-022-010	NHIA-022-010 - Meatoplasty (for Traumatic Meatus Atresia)	42000.00
NHIA-022-011	NHIA-022-011 - Nasal Polypectomy	42000.00
NHIA-022-012	NHIA-022-012 - Oesophagoscopy	35000.00
NHIA-022-013	NHIA-022-013 - Emergency Oesophagoscopy + FB Removal	42000.00
NHIA-022-014	NHIA-022-014 - Partial Amputation of the pinna	42000.00
NHIA-022-015	NHIA-022-015 - Septoplasty	35000.00
NHIA-022-016	NHIA-022-016 - Tonsillectomy/Adenotonsilectomy	42000.00
NHIA-022-017	NHIA-022-017 - Turbinectomy	42000.00
NHIA-022-018	NHIA-022-018 - Young's Operation	35000.00
NHIA-023-001	NHIA-023-001 - Anterior Ethmoidal Artery ligation	84000.00
NHIA-023-002	NHIA-023-002 - Arytenoidectomy	84000.00
NHIA-023-003	NHIA-023-003 - Dacryocystorhinostomy (DCR)	84000.00
NHIA-023-004	NHIA-023-004 - Ethmoidectomy; Fronto, External	84000.00
NHIA-023-005	NHIA-023-005 - Internal Auditory Meatus Surgery	84000.00
NHIA-023-006	NHIA-023-006 - Intranasal ethmoidectomy	84000.00
NHIA-023-007	NHIA-023-007 - Labyrinthectomy	84000.00
NHIA-023-008	NHIA-023-008 - Laryngeal Stenosis, Laryngocele, Abductor Paralysis, Laryngo-Fissure	84000.00
NHIA-023-009	NHIA-023-009 - Laryngectomy (All types)	210000.00
NHIA-023-010	NHIA-023-010 - Laryngoplasty	84000.00
NHIA-023-011	NHIA-023-011 - Mastoid Surgery/Mastoidectomy	84000.00
NHIA-023-012	NHIA-023-012 - Muscle Grafting to Mastoid Cavity	84000.00
NHIA-023-013	NHIA-023-013 - Neck exploration for penetrating neck Injury	210000.00
NHIA-023-014	NHIA-023-014 - Parapharyngeal Excision/I&D/Tumour excision	84000.00
NHIA-023-015	NHIA-023-015 - Pharyngoplasty	84000.00
NHIA-023-016	NHIA-023-016 - Posterior Canal Reconstruction After Radical Mastoidectomy	84000.00
NHIA-023-017	NHIA-023-017 - Rhinoplasty	84000.00
NHIA-023-018	NHIA-023-018 - Stapedial Surgery for Otosclerosis/Stapedectomy	91000.00
NHIA-023-019	NHIA-023-019 - Styloidectomy	84000.00
NHIA-023-020	NHIA-023-020 - Tympanoplasty	87500.00
NHIA-023-021	NHIA-023-021 - Vidian Neurectomy	84000.00
NHIA-030-001	NHIA-030-001 - Antenatal care	14000.00
NHIA-030-002	NHIA-030-002 - Normal Delivery	14000.00
NHIA-030-003	NHIA-030-003 - Delivery of Multiple Pregnancy	21000.00
NHIA-031-001	NHIA-031-001 - Cervical Polypectomy	28000.00
NHIA-031-002	NHIA-031-002 - Cervical Cone Biopsy	28000.00
NHIA-031-003	NHIA-031-003 - Colposcopy	28000.00
NHIA-031-004	NHIA-031-004 - D&C / Evacuation of Retained Products of Conception	28000.00
NHIA-031-005	NHIA-031-005 - Destructive delivery (Cranioembryotomy)	28000.00
NHIA-031-006	NHIA-031-006 - Excision / Diathermy of Warts	28000.00
NHIA-031-007	NHIA-031-007 - Excision of Vaginal Septum	28000.00
NHIA-031-008	NHIA-031-008 - Hysteroscopy	35000.00
NHIA-031-009	NHIA-031-009 - Labial Cyst	28000.00
NHIA-031-010	NHIA-031-010 - Laparoscopy + Dye Test	35000.00
NHIA-031-011	NHIA-031-011 - Marsupialization (Bartholin’s Cyst)	35000.00
NHIA-031-012	NHIA-031-012 - Pap Smear Procedure	7000.00
NHIA-031-013	NHIA-031-013 - Repair of Episiotomy	14000.00
NHIA-031-014	NHIA-031-014 - Uterine Evacuation	28000.00
NHIA-031-015	NHIA-031-015 - Vaginal Cyst Enucleation (Under LA)	28000.00
NHIA-031-016	NHIA-031-016 - Vaginal Cyst Enucleation (Under GA)	70000.00
NHIA-032-001	NHIA-032-001 - Cervical Cerclage/Shirodkar Suture	56000.00
NHIA-032-002	NHIA-032-002 - Colporrhaphy - Vaginal wall repair/Colpoperineorrhaphy	49000.00
NHIA-032-003	NHIA-032-003 - Diagnostic Laparoscopy	49000.00
NHIA-032-004	NHIA-032-004 - Laparoscopy (therapeutic)	70000.00
NHIA-032-005	NHIA-032-005 - Hydrotubation	42000.00
NHIA-032-006	NHIA-032-006 - Hymenectomy and repair of Hymen	42000.00
NHIA-032-007	NHIA-032-007 - Instrumental Delivery (Forceps, Vacuum Extraction)	42000.00
NHIA-032-008	NHIA-032-008 - Mini Laparotomy	56000.00
NHIA-032-009	NHIA-032-009 - Repair of Third-Degree Tear	28000.00
NHIA-033-001	NHIA-033-001 - Amputation of the Cervix	77000.00
NHIA-033-002	NHIA-033-002 - Bilateral Tubal Ligation	77000.00
NHIA-033-003	NHIA-033-003 - Broad Ligament Haematoma	77000.00
NHIA-033-004	NHIA-033-004 - Caesarean Section, (elective, emergency, single live born, twin etc)	98000.00
NHIA-033-005	NHIA-033-005 - Caesarean Section with Bilateral Tubal Ligation	112000.00
NHIA-033-006	NHIA-033-006 - Caesarean Section with Hysterectomy	126000.00
NHIA-033-007	NHIA-033-007 - Cervical Cautery	77000.00
NHIA-033-008	NHIA-033-008 - Wedge Resection of The Ovary	98000.00
NHIA-033-009	NHIA-033-009 - Examination Under Anaesthesia (EUA)	77000.00
NHIA-033-010	NHIA-033-010 - Hysterectomy And Bilateral Salpingo-Oophorectomy (Abdominal/Vaginal))	140000.00
NHIA-033-011	NHIA-033-011 - Hysterectomy/Manchester Repair (all types)	95200.00
NHIA-033-012	NHIA-033-012 - Laparotomy Diagnostic / Therapeutic, Inter- Sex	95200.00
NHIA-033-013	NHIA-033-013 - Myomectomy (Abdominal)	105000.00
NHIA-033-014	NHIA-033-014 - Ovarian Biopsy	95200.00
NHIA-033-015	NHIA-033-015 - Ovarectomy/Oophrectomy	95200.00
NHIA-033-016	NHIA-033-016 - Pelvic Haematocele	95200.00
NHIA-033-017	NHIA-033-017 - Pelvic/Abdominal Abscess Drainage	84000.00
NHIA-033-018	NHIA-033-018 - Reconstruction of Vagina (e.g. Secondary to Vaginal Atresia)	105000.00
NHIA-033-019	NHIA-033-019 - Reconstruction Surgery E.G Straussman Operation	105000.00
NHIA-033-020	NHIA-033-020 - Rectovaginal Fistula Repair	105000.00
NHIA-033-021	NHIA-033-021 - Repair of Inverted Uterus	105000.00
NHIA-033-022	NHIA-033-022 - Repair of Perforated Uterus	105000.00
NHIA-033-023	NHIA-033-023 - Repair of Ruptured Uterus	105000.00
NHIA-033-024	NHIA-033-024 - Salpingectomy (e.g for Ectopic Pregnancy)	91000.00
NHIA-033-025	NHIA-033-025 - Salpingo-Oophorectomy	95200.00
NHIA-033-026	NHIA-033-026 - Tubal Reconstruction	105000.00
NHIA-033-027	NHIA-033-027 - Ureterovaginal Fistula Repair	98000.00
NHIA-033-028	NHIA-033-028 - Uterovesical Fistula Repair	98000.00
NHIA-033-029	NHIA-033-029 - Vaginoclesis	98000.00
NHIA-033-030	NHIA-033-030 - Ventrosuspension of The Bladder	105000.00
NHIA-033-031	NHIA-033-031 - Ventrosuspension Procedures of Correction of Uterine Prolapse	95200.00
NHIA-033-032	NHIA-033-032 - Vulvectomy	95200.00
NHIA-040-001	NHIA-040-001 - Aspiration	3500.00
NHIA-040-002	NHIA-040-002 - Aspirations (USS guided)	7000.00
NHIA-040-003	NHIA-040-003 - Diagnostic Paracentesis	3500.00
NHIA-040-004	NHIA-040-004 - Haemodialysis/Haemodiafiltration/Peritoneal Dialysis (50:50 partial coverage; up to 6 sessions)	36400.00
NHIA-040-005	NHIA-040-005 - Therapeutic Paracentesis	14000.00
NHIA-040-007	NHIA-040-007 - Bed Fee (per day)	1400.00
NHIA-040-008	NHIA-040-008 - Nursing Care (per day)	1400.00
NHIA-040-009	NHIA-040-009 - Mechanical ventilation (per day)	7000.00
NHIA-040-010	NHIA-040-010 - Oxygen Therapy (per day) (ICU)	14000.00
NHIA-040-011	NHIA-040-011 - Central Venous Cannulation (per session)	14000.00
NHIA-040-012	NHIA-040-012 - Endotracheal Intubation (per session)	7000.00
NHIA-040-013	NHIA-040-013 - Trans Thoracic Echocardiography	14000.00
NHIA-040-014	NHIA-040-014 - Electrocardiography (ECG)	7000.00
NHIA-040-015	NHIA-040-015 - Electro-Encephalography (EEG)	21000.00
NHIA-040-016	NHIA-040-016 - 24 Hour ECG (Holter ECG)	21000.00
NHIA-040-017	NHIA-040-017 - Exercise ECG	10500.00
NHIA-040-018	NHIA-040-018 - Ambulatory BP Monitoring	7000.00
NHIA-040-019	NHIA-040-019 - Gastric Lavage	3500.00
NHIA-040-020	NHIA-040-020 - Lumbar Puncture	3500.00
NHIA-040-021	NHIA-040-021 - Lung Function Test	7000.00
NHIA-040-022	NHIA-040-022 - Nebulisation (per session)	2800.00
NHIA-040-023	NHIA-040-023 - Oxygen Therapy (per day)	14000.00
NHIA-040-024	NHIA-040-024 - Oxygen Therapy (per hour)	700.00
NHIA-040-025	NHIA-040-025 - Tissue Biopsy (other than skin)	14000.00
NHIA-040-026	NHIA-040-026 - Skin Biopsy	7000.00
NHIA-040-027	NHIA-040-027 - Bone Marrow Biopsy	14000.00
NHIA-051-001	NHIA-051-001 - Above Knee POP Cast	14000.00
NHIA-051-002	NHIA-051-002 - Cylinder POP Cast	14000.00
NHIA-051-003	NHIA-051-003 - Below Knee POP Cast	14000.00
NHIA-051-004	NHIA-051-004 - Boot POP Cast	14000.00
